rank	EN_lemma	EN_count	EN_tokens	DE_lemma	DE_count	DE_tokens	AR_from_EN_lemma	AR_from_EN_count	AR_from_EN_tokens	AR_from_DE_lemma	AR_from_DE_count	AR_from_DE_tokens
1	many	341	[Many, many]	_	303	[_]	رائِع	462	[الرائع, الرائعة, الرائعين, رائع, رائعاً, رائعة, رائعةٌ, رائعين, رائعًا, رائعٌ, رائعٍ, ورائع, ورائعاً, ورائعة]	رائِع	454	[الرائع, الرائعة, الرائعين, رائع, رائعان, رائعاً, رائعة, رائعةً, رائعةٌ, رائعتان, رائعون, رائعين, رائعًا, رائعٌ, ورائع, ورائعة]
2	good	334	[Best, Good, best, good]	schwarz	211	[Schwarze, Schwarzen, schwarze, schwarzen]	خاصّ	343	[الخاص, الخاصة, خاص, خاصاً, خاصة, خاصتك, خاصتي, خاصية, خاصًا, خاصٌ]	خاصّ	442	[الخاص, الخاصة, خاص, خاصاً, خاصة, خاصةً, خاصتك, خاصتنا, خاصتي, خاصية]
3	more	304	[more]	nächster	184	[nächste, nächsten, nächster, nächstes]	أَكْثَر	307	[أكثر, أكثرَ, الأكثر, فأكثر, وأكثر, والأكثر]	آخَر	294	[آخر, آخرون, آخرين, آخرًا, الآخر, الآخرون, الآخرين, لآخر, للآخرين, وآخرون, والآخر, والآخران]
4	different	212	[Different, different]	anderer	183	[andere, anderen, anderer, anderes]	آخَر	267	[آخر, آخران, آخرون, آخرين, آخرًا, الآخر, الآخران, الآخرون, الآخرين, بآخر, بالآخرين, فاخراً, فاخرًا, لآخر, للآخر, للآخرين, والآخر]	أَكْثَر	238	[أكثر, الأكثر, بأكثر, فأكثر, وأكثر, والأكثر]
5	strong	208	[Strong, strong, stronger, strongest]	weiß	158	[Weiße, Weißen, weiße, weißen]	رِياضِيّ	235	[الرياضي, الرياضية, الرياضيون, الرياضيين, بالرياضيين, رياضي, رياضية, رياضيي, رياضيّك, والرياضيون]	أُخْرَى	209	[أخرى, أخريات, الأخرى, بأخرى, وأخرى]
6	right	195	[Right, right]	gut	153	[Gute, Guten, bessere, besseren, besserer, beste, besten, bester, gute, guten, guter, gutes]	أُخْرَى	208	[أخرى, الأخرى, بأخرى, وأخرى]	قادِم	186	[القادم, القادمة, القادمين, قادم, قادمة, قادمًا, قادمٌ]
7	other	176	[other]	neu	153	[Neue, neue, neuem, neuen, neuer, neues, neuesten]	مُخْتَلِف	164	[المختلفة, المختلفين, مختلف, مختلفاً, مختلفة, مختلفةٍ, مختلفون, مختلفين, مختلفًا, مُختلفةٍ, ومختلفة]	رِياضِيّ	172	[الرياضي, الرياضية, الرياضيون, الرياضيين, رياضي, رياضية, رياضيي, رياضيًا, رياضيّك]
8	little	161	[Little, little]	groß	126	[große, großem, großen, großer, großes, größere, größeren, größerer, größte, größten, größter, größtes]	كَبِير	139	[الكبير, الكبيرة, كبير, كبيراً, كبيرة, كبيرةً, كبيرًا]	جَدِيد	167	[الجدد, الجديد, الجديدة, جديد, جديداً, جديدة, جديدًا]
9	great	155	[Great, great, greater, greatest]	klein	107	[Kleiner, kleine, kleinen, kleiner, kleines]	صَحِيح	137	[الصحيح, الصحيحة, صحيح, صحيحاً, صحيحةٌ, صحيحًا]	جَيِّد	154	[الجيد, الجيدة, الجيدين, جيد, جيداً, جيدة, جيدين, جيدًا, وجيدة]
10	sure	127	[sure]	folgend	83	[folgende, folgenden]	جَيِّد	125	[الجيد, الجيدة, الجيدون, جيد, جيداً, جيدة, جيدةً, جيدًا, وجيداً]	مُخْتَلِف	153	[المختلفة, المختلفين, مختلف, مختلفاً, مختلفة, مختلفةً, مختلفتين, مختلفين, مختلفًا]
