language	tagger	token	lemma
English	spaCy-en_core_web_lg	humble	humble
English	spaCy-en_core_web_lg	big	big
English	spaCy-en_core_web_lg	big	big
English	spaCy-en_core_web_lg	wonderful	wonderful
English	spaCy-en_core_web_lg	good	good
English	spaCy-en_core_web_lg	rare	rare
English	spaCy-en_core_web_lg	superb	superb
English	spaCy-en_core_web_lg	surprised	surprised
English	spaCy-en_core_web_lg	satisfied	satisfied
English	spaCy-en_core_web_lg	OK	ok
English	spaCy-en_core_web_lg	interesting	interesting
English	spaCy-en_core_web_lg	rare	rare
English	spaCy-en_core_web_lg	adorable	adorable
English	spaCy-en_core_web_lg	poor	poor
English	spaCy-en_core_web_lg	adorable	adorable
English	spaCy-en_core_web_lg	rare	rare
English	spaCy-en_core_web_lg	ultra	ultra
English	spaCy-en_core_web_lg	expensive	expensive
English	spaCy-en_core_web_lg	rare	rare
English	spaCy-en_core_web_lg	rare	rare
English	spaCy-en_core_web_lg	good	good
English	spaCy-en_core_web_lg	great	great
English	spaCy-en_core_web_lg	different	different
English	spaCy-en_core_web_lg	rare	rare
English	spaCy-en_core_web_lg	rare	rare
English	spaCy-en_core_web_lg	innermost	innermost
English	spaCy-en_core_web_lg	understandable	understandable
English	spaCy-en_core_web_lg	rare	rare
English	spaCy-en_core_web_lg	rare	rare
English	spaCy-en_core_web_lg	sweet	sweet
English	spaCy-en_core_web_lg	cool	cool
English	spaCy-en_core_web_lg	cool	cool
English	spaCy-en_core_web_lg	worth	worth
English	spaCy-en_core_web_lg	cool	cool
English	spaCy-en_core_web_lg	nice	nice
English	spaCy-en_core_web_lg	more	more
English	spaCy-en_core_web_lg	good	good
English	spaCy-en_core_web_lg	worth	worth
English	spaCy-en_core_web_lg	cool	cool
English	spaCy-en_core_web_lg	worth	worth
English	spaCy-en_core_web_lg	cool	cool
English	spaCy-en_core_web_lg	cool	cool
English	spaCy-en_core_web_lg	next	next
English	spaCy-en_core_web_lg	great	great
English	spaCy-en_core_web_lg	big	big
English	spaCy-en_core_web_lg	stronger	strong
English	spaCy-en_core_web_lg	little	little
English	spaCy-en_core_web_lg	urban	urban
English	spaCy-en_core_web_lg	little	little
English	spaCy-en_core_web_lg	much	much
English	spaCy-en_core_web_lg	smashing	smashing
English	spaCy-en_core_web_lg	fun	fun
English	spaCy-en_core_web_lg	wonderful	wonderful
English	spaCy-en_core_web_lg	dazzling	dazzling
English	spaCy-en_core_web_lg	dizzy	dizzy
English	spaCy-en_core_web_lg	most	most
English	spaCy-en_core_web_lg	more	more
English	spaCy-en_core_web_lg	tough	tough
English	spaCy-en_core_web_lg	tough	tough
English	spaCy-en_core_web_lg	little	little
English	spaCy-en_core_web_lg	much	much
English	spaCy-en_core_web_lg	better	well
English	spaCy-en_core_web_lg	big	big
English	spaCy-en_core_web_lg	tough	tough
English	spaCy-en_core_web_lg	cute	cute
English	spaCy-en_core_web_lg	OK	ok
English	spaCy-en_core_web_lg	strong	strong
English	spaCy-en_core_web_lg	much	much
English	spaCy-en_core_web_lg	wide	wide
English	spaCy-en_core_web_lg	open	open
English	spaCy-en_core_web_lg	awful	awful
English	spaCy-en_core_web_lg	grooveless	grooveless
English	spaCy-en_core_web_lg	sudden	sudden
English	spaCy-en_core_web_lg	right	right
English	spaCy-en_core_web_lg	Sudden	sudden
English	spaCy-en_core_web_lg	busy	busy
English	spaCy-en_core_web_lg	noisy	noisy
English	spaCy-en_core_web_lg	enough	enough
English	spaCy-en_core_web_lg	dizzy	dizzy
English	spaCy-en_core_web_lg	worried	worried
English	spaCy-en_core_web_lg	little	little
English	spaCy-en_core_web_lg	own	own
English	spaCy-en_core_web_lg	good	good
English	spaCy-en_core_web_lg	fun	fun
English	spaCy-en_core_web_lg	OK	ok
English	spaCy-en_core_web_lg	right	right
English	spaCy-en_core_web_lg	much	much
English	spaCy-en_core_web_lg	strong	strong
English	spaCy-en_core_web_lg	optimal	optimal
English	spaCy-en_core_web_lg	ready	ready
English	spaCy-en_core_web_lg	faster	fast
English	spaCy-en_core_web_lg	many	many
English	spaCy-en_core_web_lg	more	more
English	spaCy-en_core_web_lg	new	new
English	spaCy-en_core_web_lg	best	good
English	spaCy-en_core_web_lg	full	full
English	spaCy-en_core_web_lg	sure	sure
English	spaCy-en_core_web_lg	great	great
English	spaCy-en_core_web_lg	deep	deep
English	spaCy-en_core_web_lg	deep	deep
English	spaCy-en_core_web_lg	clear	clear
English	spaCy-en_core_web_lg	better	well
English	spaCy-en_core_web_lg	fresh	fresh
English	spaCy-en_core_web_lg	exciting	exciting
English	spaCy-en_core_web_lg	much	much
English	spaCy-en_core_web_lg	many	many
English	spaCy-en_core_web_lg	strange	strange
English	spaCy-en_core_web_lg	calm	calm
English	spaCy-en_core_web_lg	little	little
English	spaCy-en_core_web_lg	frustrated	frustrated
English	spaCy-en_core_web_lg	calm	calm
English	spaCy-en_core_web_lg	excited	excited
English	spaCy-en_core_web_lg	much	much
English	spaCy-en_core_web_lg	tired	tired
English	spaCy-en_core_web_lg	various	various
English	spaCy-en_core_web_lg	confident	confident
English	spaCy-en_core_web_lg	much	much
English	spaCy-en_core_web_lg	hard	hard
English	spaCy-en_core_web_lg	quiet	quiet
English	spaCy-en_core_web_lg	cool	cool
English	spaCy-en_core_web_lg	good	good
English	spaCy-en_core_web_lg	mannered	mannered
English	spaCy-en_core_web_lg	unsatisfied	unsatisfied
English	spaCy-en_core_web_lg	best	good
English	spaCy-en_core_web_lg	constant	constant
English	spaCy-en_core_web_lg	high	high
English	spaCy-en_core_web_lg	strong	strong
English	spaCy-en_core_web_lg	strong	strong
English	spaCy-en_core_web_lg	little	little
English	spaCy-en_core_web_lg	tired	tired
English	spaCy-en_core_web_lg	many	many
English	spaCy-en_core_web_lg	strong	strong
English	spaCy-en_core_web_lg	bored	bored
English	spaCy-en_core_web_lg	more	more
English	spaCy-en_core_web_lg	strong	strong
English	spaCy-en_core_web_lg	thrilling	thrilling
English	spaCy-en_core_web_lg	thrilling	thrilling
